arm,arm_label,seed,learning_rule,update,train_reward,welfare,join_rate,success_rate,message_norm,hidden_norm,live_monitor_content_accuracy,live_monitor_content_balanced_accuracy,live_monitor_true_probability
visible_bottleneck,Public Only,1,ppo,108.0,0.4405572712421417,0.5372282266616821,0.6268229484558105,0.5755208134651184,3.217703342437744,1.2907989025115967,,,
visible_bottleneck,Public Only,1,ppo,120.0,0.43076568841934204,0.5225667357444763,0.6174479722976685,0.5636393427848816,3.2085227966308594,1.2460495233535767,,,
visible_bottleneck,Public Only,2,ppo,1.0,-0.2225530445575714,-0.04099447280168533,0.4848633110523224,0.32958984375,2.4735124111175537,1.9736659526824951,,,
visible_bottleneck,Public Only,2,ppo,12.0,0.20618818700313568,0.37560877203941345,0.7121745347976685,0.5314127802848816,2.453566551208496,1.899312973022461,,,
visible_bottleneck,Public Only,2,ppo,24.0,0.3397444784641266,0.48933103680610657,0.6648763418197632,0.5646159052848816,2.660399913787842,1.7527697086334229,,,
visible_bottleneck,Public Only,2,ppo,36.0,0.38023045659065247,0.5122135281562805,0.6487630605697632,0.57080078125,2.9056642055511475,1.6047999858856201,,,
visible_bottleneck,Public Only,2,ppo,48.0,0.3775511085987091,0.4998307526111603,0.620800793170929,0.5519205927848816,3.0220906734466553,1.5219844579696655,,,
visible_bottleneck,Public Only,2,ppo,60.0,0.40383702516555786,0.5197445154190063,0.6242513060569763,0.5646159052848816,3.1175029277801514,1.4607301950454712,,,
visible_bottleneck,Public Only,2,ppo,72.0,0.42229026556015015,0.5310140252113342,0.6406901478767395,0.5779622197151184,3.17529559135437,1.396829605102539,,,
visible_bottleneck,Public Only,2,ppo,84.0,0.41975271701812744,0.5248959064483643,0.6373698115348816,0.5732421875,3.2316088676452637,1.362013339996338,,,
visible_bottleneck,Public Only,2,ppo,96.0,0.43298810720443726,0.5334017872810364,0.6385091543197632,0.5782877802848816,3.2459118366241455,1.3196388483047485,,,
visible_bottleneck,Public Only,2,ppo,108.0,0.43849632143974304,0.5360514521598816,0.6294922232627869,0.5763346552848816,3.2571263313293457,1.291573166847229,,,
visible_bottleneck,Public Only,2,ppo,120.0,0.42701566219329834,0.5204606056213379,0.6290364861488342,0.5672200322151184,3.242915630340576,1.2591062784194946,,,
visible_bottleneck,Public Only,3,ppo,1.0,-0.2095823585987091,-0.025817062705755234,0.5448242425918579,0.37744140625,2.4677984714508057,1.9880911111831665,,,
visible_bottleneck,Public Only,3,ppo,12.0,0.21882593631744385,0.38653483986854553,0.7055338621139526,0.53271484375,2.4587247371673584,1.8894902467727661,,,
visible_bottleneck,Public Only,3,ppo,24.0,0.36264124512672424,0.5100520849227905,0.6504557728767395,0.5706380009651184,2.702944278717041,1.7333120107650757,,,
visible_bottleneck,Public Only,3,ppo,36.0,0.3937731087207794,0.5260498523712158,0.6358398795127869,0.5732421875,2.916759490966797,1.607331395149231,,,
visible_bottleneck,Public Only,3,ppo,48.0,0.40171894431114197,0.5250423550605774,0.6351562738418579,0.5724284052848816,3.0236222743988037,1.5275338888168335,,,
visible_bottleneck,Public Only,3,ppo,60.0,0.4116165339946747,0.5268896818161011,0.6447591185569763,0.5774739384651184,3.116877794265747,1.4548603296279907,,,
visible_bottleneck,Public Only,3,ppo,72.0,0.4215796887874603,0.5322721600532532,0.6265299916267395,0.5730794072151184,3.1104345321655273,1.415945291519165,,,
visible_bottleneck,Public Only,3,ppo,84.0,0.4308272898197174,0.5347055196762085,0.6190755367279053,0.5709635615348816,3.1217479705810547,1.3603211641311646,,,
visible_bottleneck,Public Only,3,ppo,96.0,0.4419291615486145,0.5421810150146484,0.6233398914337158,0.5771484375,3.1309103965759277,1.3275272846221924,,,
visible_bottleneck,Public Only,3,ppo,108.0,0.43456581234931946,0.5304476022720337,0.6294271349906921,0.57275390625,3.16607928276062,1.285352349281311,,,
visible_bottleneck,Public Only,3,ppo,120.0,0.44089773297309875,0.5325098037719727,0.6296223998069763,0.5740559697151184,3.19036602973938,1.244810938835144,,,
asymmetric_free,Private Allowed,0,ppo,1.0,-0.064471036195755,-0.051775719970464706,0.4123372733592987,0.3046875,2.468888998031616,1.9932838678359985,,,
asymmetric_free,Private Allowed,0,ppo,12.0,0.40388548374176025,0.41751304268836975,0.6583333611488342,0.5291340947151184,2.5606348514556885,2.1006739139556885,,,
asymmetric_free,Private Allowed,0,ppo,24.0,0.47874802350997925,0.4949886202812195,0.6512044668197632,0.56201171875,2.8008217811584473,2.399017572402954,,,
asymmetric_free,Private Allowed,0,ppo,36.0,0.485515832901001,0.5033658742904663,0.6358398795127869,0.560546875,2.937183380126953,2.5681092739105225,,,
asymmetric_free,Private Allowed,0,ppo,48.0,0.5021792650222778,0.5209571123123169,0.6444987058639526,0.57421875,3.01338791847229,2.6090965270996094,,,
asymmetric_free,Private Allowed,0,ppo,60.0,0.4992416501045227,0.51829594373703,0.630566418170929,0.56689453125,3.0365326404571533,2.6210429668426514,,,
asymmetric_free,Private Allowed,0,ppo,72.0,0.5052823424339294,0.52485191822052,0.6335612535476685,0.57177734375,3.077639579772949,2.686262845993042,,,
asymmetric_free,Private Allowed,0,ppo,84.0,0.5042790770530701,0.5243522524833679,0.6204102039337158,0.5657551884651184,3.116570472717285,2.773674726486206,,,
asymmetric_free,Private Allowed,0,ppo,96.0,0.5131949782371521,0.5338168144226074,0.6398763060569763,0.5794270634651184,3.1596450805664062,2.8255159854888916,,,
asymmetric_free,Private Allowed,0,ppo,108.0,0.5160931944847107,0.5368928909301758,0.6359049677848816,0.5792643427848816,3.173982858657837,2.8099331855773926,,,
