design,treatment,signal_mode,theta,theta_star,theta_relative,rep,join_fraction,join_fraction_valid,n_join,n_agents,n_valid,n_api_error,n_unparseable,api_error_rate,unparseable_rate,coup_success,theoretical_attack,benefit,cost,model
flip,pure,flip,0.5,0.5,0.0,4,0.72,0.72,18,25,25,0,0,0.0,0.0,True,0.5,1.0,1.0,openai/gpt-oss-120b
flip,pure,flip,0.5,0.5,0.0,12,0.68,0.7083333333333334,17,25,24,0,1,0.0,0.04,True,0.5,1.0,1.0,openai/gpt-oss-120b
flip,pure,flip,0.42500000000000004,0.5,-0.07499999999999996,28,0.68,0.68,17,25,25,0,0,0.0,0.0,True,0.5987063256829237,1.0,1.0,openai/gpt-oss-120b
flip,pure,flip,0.5,0.5,0.0,14,0.68,0.7083333333333334,17,25,24,0,1,0.0,0.04,True,0.5,1.0,1.0,openai/gpt-oss-120b
flip,pure,flip,0.5,0.5,0.0,10,0.68,0.68,17,25,25,0,0,0.0,0.0,True,0.5,1.0,1.0,openai/gpt-oss-120b
flip,pure,flip,0.5,0.5,0.0,5,0.68,0.7727272727272727,17,25,22,0,3,0.0,0.12,True,0.5,1.0,1.0,openai/gpt-oss-120b
flip,pure,flip,0.5,0.5,0.0,16,0.68,0.68,17,25,25,0,0,0.0,0.0,True,0.5,1.0,1.0,openai/gpt-oss-120b
flip,pure,flip,0.5,0.5,0.0,7,0.68,0.68,17,25,25,0,0,0.0,0.0,True,0.5,1.0,1.0,openai/gpt-oss-120b
flip,pure,flip,0.5,0.5,0.0,13,0.68,0.7083333333333334,17,25,24,0,1,0.0,0.04,True,0.5,1.0,1.0,openai/gpt-oss-120b
flip,pure,flip,0.5,0.5,0.0,9,0.64,0.64,16,25,25,0,0,0.0,0.0,True,0.5,1.0,1.0,openai/gpt-oss-120b
flip,pure,flip,0.5,0.5,0.0,22,0.68,0.68,17,25,25,0,0,0.0,0.0,True,0.5,1.0,1.0,openai/gpt-oss-120b
flip,pure,flip,0.5,0.5,0.0,19,0.52,0.5416666666666666,13,25,24,0,1,0.0,0.04,True,0.5,1.0,1.0,openai/gpt-oss-120b
flip,pure,flip,0.5,0.5,0.0,17,0.56,0.56,14,25,25,0,0,0.0,0.0,True,0.5,1.0,1.0,openai/gpt-oss-120b
flip,pure,flip,0.5,0.5,0.0,21,0.68,0.68,17,25,25,0,0,0.0,0.0,True,0.5,1.0,1.0,openai/gpt-oss-120b
flip,pure,flip,0.5,0.5,0.0,20,0.68,0.7391304347826086,17,25,23,0,2,0.0,0.08,True,0.5,1.0,1.0,openai/gpt-oss-120b
flip,pure,flip,0.42500000000000004,0.5,-0.07499999999999996,11,0.64,0.6666666666666666,16,25,24,0,1,0.0,0.04,True,0.5987063256829237,1.0,1.0,openai/gpt-oss-120b
flip,pure,flip,0.5750000000000001,0.5,0.07500000000000007,0,0.64,0.64,16,25,25,0,0,0.0,0.0,True,0.4012936743170762,1.0,1.0,openai/gpt-oss-120b
flip,pure,flip,0.5,0.5,0.0,11,0.8,0.8,20,25,25,0,0,0.0,0.0,True,0.5,1.0,1.0,openai/gpt-oss-120b
flip,pure,flip,0.5,0.5,0.0,26,0.68,0.7727272727272727,17,25,22,0,3,0.0,0.12,True,0.5,1.0,1.0,openai/gpt-oss-120b
flip,pure,flip,0.5,0.5,0.0,18,0.6,0.6,15,25,25,0,0,0.0,0.0,True,0.5,1.0,1.0,openai/gpt-oss-120b
flip,pure,flip,0.5750000000000001,0.5,0.07500000000000007,1,0.72,0.75,18,25,24,0,1,0.0,0.04,True,0.4012936743170762,1.0,1.0,openai/gpt-oss-120b
flip,pure,flip,0.5,0.5,0.0,24,0.64,0.64,16,25,25,0,0,0.0,0.0,True,0.5,1.0,1.0,openai/gpt-oss-120b
flip,pure,flip,0.5,0.5,0.0,28,0.76,0.76,19,25,25,0,0,0.0,0.0,True,0.5,1.0,1.0,openai/gpt-oss-120b
flip,pure,flip,0.5750000000000001,0.5,0.07500000000000007,4,0.68,0.7727272727272727,17,25,22,0,3,0.0,0.12,True,0.4012936743170762,1.0,1.0,openai/gpt-oss-120b
flip,pure,flip,0.5,0.5,0.0,27,0.68,0.7391304347826086,17,25,23,0,2,0.0,0.08,True,0.5,1.0,1.0,openai/gpt-oss-120b
flip,pure,flip,0.5750000000000001,0.5,0.07500000000000007,3,0.72,0.75,18,25,24,0,1,0.0,0.04,True,0.4012936743170762,1.0,1.0,openai/gpt-oss-120b
flip,pure,flip,0.5750000000000001,0.5,0.07500000000000007,9,0.64,0.6956521739130435,16,25,23,0,2,0.0,0.08,True,0.4012936743170762,1.0,1.0,openai/gpt-oss-120b
flip,pure,flip,0.5750000000000001,0.5,0.07500000000000007,2,0.64,0.6956521739130435,16,25,23,0,2,0.0,0.08,True,0.4012936743170762,1.0,1.0,openai/gpt-oss-120b
flip,pure,flip,0.5,0.5,0.0,15,0.6,0.6,15,25,25,0,0,0.0,0.0,True,0.5,1.0,1.0,openai/gpt-oss-120b
