design,treatment,signal_mode,theta,theta_star,theta_relative,rep,join_fraction,join_fraction_valid,n_join,n_agents,n_valid,n_api_error,n_unparseable,api_error_rate,unparseable_rate,coup_success,theoretical_attack,benefit,cost,model
baseline,pure,normal,0.42500000000000004,0.5,-0.07499999999999996,25,0.2,0.20833333333333334,5,25,24,0,1,0.0,0.04,False,0.5987063256829237,1.0,1.0,openai/gpt-oss-120b
baseline,pure,normal,0.42500000000000004,0.5,-0.07499999999999996,11,0.2,0.20833333333333334,5,25,24,0,1,0.0,0.04,False,0.5987063256829237,1.0,1.0,openai/gpt-oss-120b
baseline,pure,normal,0.42500000000000004,0.5,-0.07499999999999996,1,0.12,0.12,3,25,25,0,0,0.0,0.0,False,0.5987063256829237,1.0,1.0,openai/gpt-oss-120b
baseline,pure,normal,0.42500000000000004,0.5,-0.07499999999999996,28,0.12,0.12,3,25,25,0,0,0.0,0.0,False,0.5987063256829237,1.0,1.0,openai/gpt-oss-120b
baseline,pure,normal,0.5,0.5,0.0,1,0.12,0.12,3,25,25,0,0,0.0,0.0,False,0.5,1.0,1.0,openai/gpt-oss-120b
baseline,pure,normal,0.42500000000000004,0.5,-0.07499999999999996,20,0.2,0.20833333333333334,5,25,24,0,1,0.0,0.04,False,0.5987063256829237,1.0,1.0,openai/gpt-oss-120b
baseline,pure,normal,0.5,0.5,0.0,7,0.16,0.16,4,25,25,0,0,0.0,0.0,False,0.5,1.0,1.0,openai/gpt-oss-120b
baseline,pure,normal,0.42500000000000004,0.5,-0.07499999999999996,27,0.08,0.08,2,25,25,0,0,0.0,0.0,False,0.5987063256829237,1.0,1.0,openai/gpt-oss-120b
baseline,pure,normal,0.42500000000000004,0.5,-0.07499999999999996,21,0.12,0.12,3,25,25,0,0,0.0,0.0,False,0.5987063256829237,1.0,1.0,openai/gpt-oss-120b
baseline,pure,normal,0.42500000000000004,0.5,-0.07499999999999996,12,0.12,0.12,3,25,25,0,0,0.0,0.0,False,0.5987063256829237,1.0,1.0,openai/gpt-oss-120b
baseline,pure,normal,0.35000000000000003,0.5,-0.14999999999999997,27,0.08,0.08,2,25,25,0,0,0.0,0.0,False,0.691462461274013,1.0,1.0,openai/gpt-oss-120b
baseline,pure,normal,0.5,0.5,0.0,10,0.12,0.12,3,25,25,0,0,0.0,0.0,False,0.5,1.0,1.0,openai/gpt-oss-120b
baseline,pure,normal,0.5,0.5,0.0,6,0.24,0.24,6,25,25,0,0,0.0,0.0,False,0.5,1.0,1.0,openai/gpt-oss-120b
baseline,pure,normal,0.42500000000000004,0.5,-0.07499999999999996,29,0.12,0.12,3,25,25,0,0,0.0,0.0,False,0.5987063256829237,1.0,1.0,openai/gpt-oss-120b
baseline,pure,normal,0.5,0.5,0.0,2,0.16,0.16666666666666666,4,25,24,0,1,0.0,0.04,False,0.5,1.0,1.0,openai/gpt-oss-120b
baseline,pure,normal,0.42500000000000004,0.5,-0.07499999999999996,23,0.2,0.2,5,25,25,0,0,0.0,0.0,False,0.5987063256829237,1.0,1.0,openai/gpt-oss-120b
baseline,pure,normal,0.42500000000000004,0.5,-0.07499999999999996,13,0.24,0.24,6,25,25,0,0,0.0,0.0,False,0.5987063256829237,1.0,1.0,openai/gpt-oss-120b
baseline,pure,normal,0.5,0.5,0.0,5,0.04,0.041666666666666664,1,25,24,0,1,0.0,0.04,False,0.5,1.0,1.0,openai/gpt-oss-120b
baseline,pure,normal,0.5,0.5,0.0,4,0.12,0.12,3,25,25,0,0,0.0,0.0,False,0.5,1.0,1.0,openai/gpt-oss-120b
baseline,pure,normal,0.5,0.5,0.0,14,0.12,0.125,3,25,24,0,1,0.0,0.04,False,0.5,1.0,1.0,openai/gpt-oss-120b
baseline,pure,normal,0.42500000000000004,0.5,-0.07499999999999996,18,0.2,0.2,5,25,25,0,0,0.0,0.0,False,0.5987063256829237,1.0,1.0,openai/gpt-oss-120b
baseline,pure,normal,0.42500000000000004,0.5,-0.07499999999999996,24,0.12,0.12,3,25,25,0,0,0.0,0.0,False,0.5987063256829237,1.0,1.0,openai/gpt-oss-120b
baseline,pure,normal,0.5,0.5,0.0,13,0.08,0.08,2,25,25,0,0,0.0,0.0,False,0.5,1.0,1.0,openai/gpt-oss-120b
baseline,pure,normal,0.42500000000000004,0.5,-0.07499999999999996,22,0.16,0.16,4,25,25,0,0,0.0,0.0,False,0.5987063256829237,1.0,1.0,openai/gpt-oss-120b
baseline,pure,normal,0.5,0.5,0.0,15,0.08,0.08333333333333333,2,25,24,0,1,0.0,0.04,False,0.5,1.0,1.0,openai/gpt-oss-120b
baseline,pure,normal,0.5,0.5,0.0,9,0.16,0.16666666666666666,4,25,24,0,1,0.0,0.04,False,0.5,1.0,1.0,openai/gpt-oss-120b
baseline,pure,normal,0.5,0.5,0.0,12,0.08,0.08,2,25,25,0,0,0.0,0.0,False,0.5,1.0,1.0,openai/gpt-oss-120b
baseline,pure,normal,0.5,0.5,0.0,24,0.28,0.28,7,25,25,0,0,0.0,0.0,False,0.5,1.0,1.0,openai/gpt-oss-120b
baseline,pure,normal,0.5,0.5,0.0,25,0.08,0.08,2,25,25,0,0,0.0,0.0,False,0.5,1.0,1.0,openai/gpt-oss-120b
